BID;Band
1;4LYN
2;Abbruch
3;Accept
4;Adorned brood
5;Adversor
6;Agnostic Front
7;Agrypnie
8;Airbourne
9;Akrasatrum
10;Alcest
11;Alestorm
12;Alice Cooper
13;Amon Amarth
14;Andras
15;Annihilator
16;Arafel
17;Arch Enemy
18;As I Lay Dying
19;Asenblut
20;Atomwinter
21;Battalion
22;Behemoth
23;Bei Bedarf
24;Benighted
25;Bifroest
26;Blaas Of Glory
27;Black Messiah
28;Blackleaf Gardens
29;Blackshore
30;Blakes Vengeance
31;Bleeding Utopia
32;Blind Guardian
33;Bloodbath
34;Bolt Thrower
35;Bonsai Kitten
36;Bran Barr
37;Bucovina
38;Burden Of Grief
39;Burry the Ordinary
40;Caliban
41;Callejon
42;Cannibal Corpse
43;Carcass
44;Catamenia
45;Chambers
46;Cherry Bomb
47;Children Of Bodom
48;Chronosphere
49;Cobra Khan
50;Conception Divided
51;Coppelius
52;Cornes Vagantes
53;Cradle of Filth
54;Cranial
55;Cryptopsy
56;Ctulu
57;Cultus Ferox
58;Cut my skin
59;Dalriada
60;Danzig
61;Das Pack
62;Dead Means Nothing
63;Death Angel
64;Debauchery
65;Decapitated
66;Deep Purple
67;Degreaded
68;Der W
69;Destruction
70;Diablo
71;Die Apokalyptischen Reiter
72;Die Aerzte
73;Die Ekligen
74;Disneyland after Dark
75;Doro
76;Draco Faucium
77;Dritte Wahl
78;Ektomorf
79;Eluveitie
80;Emergency Gate
81;Empower
82;Endstille
83;Ensiferum
84;Equilibirum
85;Europe
86;Everytime I Die
87;Ex Deo
88;Exceeded
89;Excrementory Grindfuckers
90;Feuerschwanz
91;Fiddlers Green
92;Final Deprivity
93;Finntroll
94;Finsterforst
95;Fleshgod Apocalyps
96;Frei.Wild
97;Fucking Hostile
98;Furunkulus
99;Ghost
100;Gojira
101;Gore
102;Grave Digger
103;Green Day
104;Grossstadtgefluester
105;Hammercult
106;Hasenscheisse
107;Heaven Shall Burn
108;Heidevolk
109;Heidra
110;Helloween
111;Helrunar
112;Horch
113;Huntress
114;Ignis Fatuu
115;immortal
116;Impact
117;Impius Mundi
118;In Extremo
119;In Flames
120;Inglorious
121;Iron Maiden
122;J.B.O.
123;Judas Priest
124;Kalmah
125;Kataklysm
126;Keule
127;Killswitch Engage
128;Kitsch
129;Kivimetsaen Druidi
130;KMPFSPRT
131;Koller
132;Korpiklaani
133;Kotzreiz
134;Kreator
135;Krisiun
136;Kvelertak
137;Left Eye Blind
138;Legio Mortis
139;Legion of the Damned
140;Lord of the Lost
141;Lordi
142;Maggies Farm
143;Magna Mortalis
144;Manegarm
145;Marduk
146;Maskara
147;Mayhem
148;Megabosch
149;Megadeth
150;Milking the Goatmachine
151;Misery Index
152;Montreal
153;Moonsorrow
154;Morbid Angel
155;Motoerhead
156;Mr. Hurley & die Pulveraffen
157;Mr. Irish Bastard
158;Naquadah
159;Nattaravnur
160;Negator
161;Nicht der Rede Wert
162;Nightwish
163;Obituary
164;Obscurity
165;Odroerir
166;Oomph!
167;Ozzy Osbourne
168;Pampatut
169;Pantheon I
170;Path of Golconda
171;Peaches
172;Phantom Winter
173;Piratenpabst
174;Polaris
175;Powerwolf
176;Punch 'n' Judy
177;Purify
178;Pyrates!
179;Radio Havanna
180;Rage
181;Rammstein
182;Reactory
183;Red Cardinal
184;Restless
185;Running Wild
186;Sabaton
187;Sabiendas
188;Saltatio Mortis
189;Santiano
190;Saxon
191;Scar Symmetry
192;Scorned
193;Sepultura
194;Shitripper
195;Skadika
196;Skate Chords
197;Skid Row
198;Slayer
199;Smoke Blow
200;Sodom
201;Soko-M
202;Sonic Syndicate
203;Splitting Society
204;Steel Panther
205;Steel Sisters
206;Steelwing
207;Struwelpeter
208;Subway to sally
209;Suicidal Angels
210;Swashbuckle
211;Taake
212;The Bleeders
213;The Haunted
214;The Incredible Herrengedeck
215;The Other
216;The Raven Age
217;The Stranglers
218;The Toten Crackhuren im Kofferraum
219;These Four Walls
220;Thyrfing
221;Torture Pit
222;Trallery
223;Tranquilizer
224;Trivium
225;Trollfest
226;Turisas
227;Twilight of the Gods
228;TYR
229;U.D.O.
230;Unleashed
231;V8 Wankers
232;Vader
233;Vagabond
234;Valkyrja
235;Varg
236;Versengold
237;Vicious Rumours
238;Vogelfrey
239;Vollbeat
240;Vomitory
241;Vreid
242;Wacken Firefighters
243;Wintersun
244;Wolfchant
