BID;Band
1;257ers
2;3 Doors Down
3;3 Inches Of Blood
4;4 Arm
5;4 Promille
6;4LYN
7;A Million Ways To Die In The West
8;A Skylit Drive
9;Abadden
10;Abbruch
11;Abfukk
12;Absurd
13;AC/DC
14;Accept
15;Adorned brood
16;Adversor
17;Aerosmith
18;Aggravator
19;Aggression
20;Aggropunk
21;Agnostic Front
22;Agrypnie
23;Ahead To The Sea
24;Airbourne
25;Akrasatrum
26;Alan Silvestri
27;Alarmsignal
28;Alcest
29;Alesana
30;Alestorm
31;Alexandre Desplat
32;Alexey Pehov
33;Alexisonfire
34;Alice Cooper
35;All Shall Perish
36;All That Remains
37;Amaranthe
38;America
39;Amon Amarth
40;Andras
41;Andrea Bocelli
42;Andreas Eschbach
43;Anfall
44;Angelwitch
45;Animals
46;Annihilator
47;Anthony Gonzalez
48;Anthrax
49;Anti-Flag
50;Antipeewee
51;Anvil
52;Apostasy
53;Arafel
54;Arch Enemy
55;Arkayic Revolt
56;Arkona
57;As Blood Runs Black
58;As I Lay Dying
59;Asenblut
60;At The Drive-In
61;Atomwinter
62;Atreyu
63;Autograph
64;Auweia!
65;Avicii
66;Axegressor
67;Axel Rudi Pell
68;Bachman-Turner Overdrive
69;Bap
70;Barenaked Ladies
71;Basil Poledouris
72;Battalion
73;Battle Beast
74;Battlecross
75;Beastie Boys
76;Behemoth
77;Bei Bedarf
78;Ben Lee
79;Benighted
80;Berliner Philharmoniker
81;Berliner Weisse
82;Betontod
83;Bifröst
84;Big M
85;Billy Idol
86;Billy Joel
87;Billy Talent
88;Blaas Of Glory
89;Black Bomb A
90;Black Label Society
91;Black Messiah
92;Black Sabbath
93;Blackleaf Gardens
94;Blackshore
95;Blakes Vengeance
96;Bleeding Utopia
97;blessthefall
98;Blind Guardian
99;Blondie
100;Bloodbath
101;Bloodline
102;Bloodsucking Zombies from outer Space
103;Blue Öyster Cult
104;Bob Dylan
105;Böhse Onkelz
106;Bolt Thrower
107;Bon Jovi
108;Bonnie Tyler
109;Bonsai Kitten
110;Bornholm
111;Boston
112;Bran Barr
113;Bring Me The Horizon
114;Brocas Helm
115;Broilers
116;Bryan Adams
117;Bucovina
118;Budgie
119;Burden Of Grief
120;Burry the Ordinary
121;Caine
122;Caliban
123;Callejon
124;Candlemass
125;Cannibal Corpse
126;Carcass
127;Carolin Kebekus
128;Catamenia
129;Cervello
130;Chambers
131;Cherry Bomb
132;Children Of Bodom
133;Christoph Hardebusch
134;Christopher Paolini
135;Chronosphere
136;Civet
137;Cloven Hoof
138;Cobra Khan
139;Cock Sparrer
140;Colin Hay
141;Conception Divided
142;Coppelius
143;Cornes Vagantes
144;Coroner
145;Cradle of Filth
146;Craig Douglas
147;Cranial
148;Crashdïet
149;Craving
150;Creedence Clearwater Revival
151;Cripper
152;Cryptopsy
153;Ctulu
154;Cultus Ferox
155;Cut my skin
156;Dalriada
157;Dan Brown
158;Danzig
159;Dark Fortress
160;Darude
161;Das Pack
162;David Bowie
163;David Hasselhoff
164;David Wong
165;Dead Cult Diaries
166;Dead Means Nothing
167;Death
168;Death Angel
169;Death Cab For Cutie
170;Deathstars
171;Debauchery
172;Decapitated
173;Deep Purple
174;Def Leppard
175;Degreaded
176;Delain
177;Demon
178;Der W
179;Destruction
180;DevilDriver
181;Diablo
182;Diamond Head
183;Die Apokalyptischen Reiter
184;Die Arwinger
185;Die Ärzte
186;Die Dr3i
187;Die Drei Fragezeichen
188;Die Drei Fragezeichen - Special
189;Die Ekligen
190;Die Krupps
191;Die Toten Hosen
192;Dimmu Borgir
193;Dio
194;Dire Straits
195;Disneyland after Dark
196;Dokken
197;Don McLean
198;Donald Fasion & Zach Braff
199;Doro
200;Doro Pesch
201;Draco Faucium
202;Dragonforce
203;Dritte Wahl
204;Dropkick Murphys
205;Eagle-Eye Cherry
206;Eagles
207;Earth, Wind & Fire
208;Edge Of Attack
209;Edward Sharpe & The Magnetic Zeros
210;Eisenpimmel
211;Ektomorf
212;Eluveitie
213;Emergency Gate
214;Emperor
215;Empower
216;Endeverafter
217;Endstille
218;Ennio Morricone
219;Ensiferum
220;Enslaved
221;Equilibirum
222;Equilibrium
223;Eric Fish
224;Europe
225;Evanescence
226;Everytime I Die
227;Ex Deo
228;Exceeded
229;Excrementory Grindfuckers
