CID;BID
59;206
59;121
57;191
57;168
56;173
56;183
55;77
55;240
55;178
55;58
55;99
55;180
55;157
55;52
55;238
55;80
55;210
55;119
54;36
54;153
53;100
53;122
53;218
18;107
18;185
51;84
51;96
51;110
50;5
50;21
50;30
50;31
50;49
8;15
8;33
8;43
8;56
8;64
8;84
8;86
8;119
8;120
8;124
8;126
8;137
8;164
8;167
8;177
8;187
8;188
8;191
8;195
48;34
48;119
18;47
18;107
45;46
45;55
45;174
45;20
45;98
45;144
45;184
44;17
44;135
44;202
44;234
43;23
43;138
43;198
42;25
42;27
42;84
42;85
42;94
42;161
42;165
42;213
42;246
8;3
8;13
8;17
8;22
8;44
8;48
8;66
8;69
8;83
8;92
8;108
8;118
8;123
8;135
8;149
8;170
8;190
8;191
8;199
8;200
8;202
8;206
8;240
40;123
40;127
18;62
18;105
18;107
18;131
18;175
18;181
18;220
38;133
38;141
38;142
38;210
37;59
37;132
37;134
37;203
37;216
37;220
36;23
36;203
35;2
35;23
34;23
34;74
34;186
8;6
8;12
8;15
8;26
8;42
8;52
8;53
8;61
8;67
8;76
8;91
8;91
8;91
8;118
8;163
8;170
8;177
8;183
8;224
32;51
31;147
30;223
30;225
29;147
28;28
28;40
27;11
26;50
26;129
26;196
26;214
25;147
25;159
25;221
24;73
24;219
19;11
19;32
19;64
19;84
19;91
19;109
19;114
19;119
19;135
19;150
19;177
19;234
18;107
18;134
18;153
18;220
21;17
21;24
21;35
21;70
21;90
21;119
21;123
21;126
21;137
21;146
21;154
21;177
21;190
21;202
21;204
21;212
21;228
21;230
21;234
21;240
21;242
21;243
8;8
8;18
8;26
8;32
8;38
8;48
8;84
8;97
8;106
8;108
8;111
8;113
8;115
8;124
8;126
8;135
8;137
8;148
8;155
8;156
8;169
8;190
8;195
8;202
8;215
8;226
8;243
19;9
19;13
19;14
19;17
19;19
19;39
19;54
19;70
19;85
19;90
19;93
19;112
19;125
19;126
19;136
19;139
19;152
19;179
19;182
19;188
19;189
19;192
19;193
19;197
19;202
19;211
19;227
19;233
19;235
19;239
19;245
18;1
18;47
18;78
18;107
18;123
18;143
18;158
18;181
17;4
17;7
17;10
17;16
17;25
17;29
17;37
17;45
17;57
17;60
17;115
17;145
17;166
17;172
17;222
17;229
17;236
14;160
14;194
5;16
5;130
5;133
5;154
5;232
5;237
14;89
14;117
14;176
14;205
13;162
13;207
12;85
12;126
12;140
12;145
12;151
11;82
11;95
11;102
11;171
11;209
10;11
10;188
10;208
9;84
9;85
9;109
9;212
9;229
8;12
8;17
8;41
8;43
8;63
8;65
8;68
8;72
8;79
8;83
8;85
8;92
8;97
8;103
8;116
8;122
8;141
8;200
8;201
8;217
8;230
8;231
8;237
8;244
7;104
6;87
6;108
6;120
6;128
5;11
5;72
5;88
5;133
5;212
5;232
4;69
4;75
4;108
4;241
3;41
3;80
3;81
3;135
2;43
2;48
2;71
1;101
1;120
1;204
