1;Steel Panther;01.10.2016;Berlin
2;Rammstein;08.07.2016;Berlin
3;Feuertanz;04.07.2016;Abenberg
4;Golm Rockt;18.06.2016;Golm
5;Iron Maiden - The Book Of Souls Tour;31.05.2016;Berlin
6;Rock in Caputh;20.05.2016;Caputh
7;The Return of the One Man Army;21.04.2016;Berlin
8;Berlin Thrash Insanity;09.04.2016;Berlin
9;Wacken Open Air;30.07.2015;Wacken
10;Rock in Caputh;08.05.2015;Caputh
11;Thrash im Tommy Haus;23.04.2015;Berlin
12;Metal Hammer Praesentiert Kreator + Arch Enemy;09.12.2014;Berlin
13;Pogorausch;12.09.2014;Berlin
14;Wolfszeit;29.08.2014;Crispendorf
15;Wacken Open Air;31.07.2014;Wacken
16;Campus Fest Brandenburg;23.05.2014;Brandenburg
17;Rock in Caputh;09.05.2014;Caputh
18;Eisheilige Nacht;30.12.2013;Potsdam
19;Atomtest Weihnachtsfest;20.12.2013;Berlin
20;Bei Bedarf Record Relaese;18.10.2013;Berlin
21;Potse/Drugstore Festival;12.09.2013;Berlin
22;Spirale;06.09.2013;Berlin
23;Wacken Open Air;01.08.2013;Wacken
24;Strassenfest;13.07.2013;Frankfurt and der Oder
25;West End;14.06.2013;Hamilton
26;Nox A Carnival;27.03.2013;Berlin
27;Showgirls;06.02.2013;Auckland
28;Rising Sun;01.02.2013;Auckland
29;Live at the End of the World Tour;24.01.2013;Auckland
30;Hardcore Punk New Zealand;30.11.2012;Auckland
31;Naquadah EP Release;28.10.2012;Auckland
32;Die aerzte - Das Ende ist noch nicht vorbei;17.08.2012;Berlin
33;Metalfest;07.06.2012;Lorely
34;Rock in Caputh;18.05.2012;Caputh
36;Wacken Open Air;04.08.2011;Wacken
35;Summerbreeze;17.08.2011;Dinkelsbuehl
37;Metalfest;27.05.2011;Dessau
38;Rock in Caputh;13.05.2011;Caputh
39;Ragnaroek;29.04.2011;Lichtenfels
40;Moshpit;11.03.2011;Berlin
41;Paganfest;06.03.2011;Berlin
42;Moshpit;18.02.2011;Berlin
43;Fuer immer Punk;05.02.2011;Berlin
44;Neckbrakers Ball;16.01.2011;Berlin
45;Ende der Zeit Tour;20.12.2010;Berlin
46;World War Tour 2010;23.11.2010;Berlin
47;Heidenfest;12.09.2010;Berlin
48;Wacken Open Air;05.08.2010;Wacken
49;American Idiot;22.04.2010;New York
50;Rockstar Energy Taste of Chaos Tour;06.12.2009;Berlin
51;Paganfest;13.09.2009;Berlin
52;Wacken Rocks Berlin;30.05.2009;Berlin
53;Chaos over Europe Tour;03.03.2009;Berlin
54;Blooddrunk over Europe;30.01.2009;Berlin
55;Marek Lieberberg Presents: In Flames;25.10.2008;Berlin
